"treenum"	"block"	"gap"	"transect"	"vegtrt"	"gappos"	"species"	"ind"	"photo"	"cond"	"trmmol"	"wue"
1	"B"	3	6	"s"	"SE"	"POTR"	1.00	21.70	0.42	3.33	6.51
2	"B"	3	6	"s"	"SE"	"POTR"	2.00	15.60	0.29	2.68	5.82
3	"B"	3	6	"s"	"SE"	"POTR"	3.00	15.60	0.27	2.43	6.40
4	"B"	3	6	"s"	"SE"	"POTR"	4.00	16.20	0.29	2.66	6.07
5	"B"	3	6	"s"	"SE"	"POTR"	5.00	17.25	0.22	2.18	7.91
6	"B"	3	6	"s"	"SE"	"POTR"	6.00	15.85	0.31	2.68	5.90
7	"B"	3	6	"s"	"SU"	"POTR"	1.00	11.20	0.30	2.50	4.47
8	"B"	3	6	"s"	"SU"	"POTR"	2.00	10.30	0.29	2.39	4.30
9	"B"	3	6	"s"	"SU"	"POTR"	3.00	4.60	0.06	0.80	5.69
10	"B"	3	6	"s"	"SU"	"POTR"	4.00	10.20	0.19	1.89	5.38
11	"B"	3	6	"s"	"SU"	"POTR"	5.00	8.04	0.28	2.44	3.29
12	"B"	3	6	"s"	"SU"	"POTR"	6.00	11.65	0.28	2.23	5.22
13	"B"	3	7	"r"	"SU"	"ALIN"	1.00	12.45	0.14	1.56	7.98
14	"B"	3	7	"r"	"SU"	"ALIN"	2.00	9.29	0.08	1.12	8.26
15	"B"	3	7	"r"	"SU"	"ALIN"	3.00	7.73	0.09	1.22	6.31
16	"B"	3	7	"r"	"SU"	"POTR"	1.00	12.25	0.14	1.68	7.29
17	"B"	3	7	"r"	"SU"	"POTR"	2.00	16.20	0.25	2.40	6.73
18	"B"	3	7	"r"	"SU"	"POTR"	3.00	16.55	0.24	2.38	6.95
19	"B"	3	7	"r"	"SU"	"POTR"	4.00	15.40	0.21	2.19	7.03
20	"B"	3	7	"r"	"SU"	"POTR"	5.00	15.35	0.28	2.63	5.82
21	"B"	3	7	"r"	"SU"	"POTR"	6.00	11.65	0.26	2.27	5.13
22	"B"	3	6	"s"	"C"	"POTR"	1.00	14.95	0.18	3.24	4.61
23	"B"	3	6	"s"	"C"	"POTR"	2.00	16.90	0.29	4.18	4.03
24	"B"	3	6	"s"	"C"	"POTR"	3.00	17.25	0.21	3.50	4.92
25	"B"	3	6	"s"	"C"	"POTR"	4.00	17.80	0.29	4.60	3.86
26	"B"	3	6	"s"	"C"	"POTR"	5.00	18.15	0.28	4.41	4.11
27	"B"	3	6	"s"	"C"	"POTR"	6.00	19.75	0.23	4.11	4.79
28	"B"	3	7	"r"	"SE"	"POTR"	1.00	18.65	0.26	3.40	5.47
29	"B"	3	7	"r"	"SE"	"POTR"	2.00	18.80	0.27	3.39	5.53
30	"B"	3	7	"r"	"SE"	"POTR"	3.00	21.75	0.37	3.82	5.68
31	"B"	3	7	"r"	"SE"	"POTR"	4.00	20.95	0.35	3.48	6.02
32	"B"	3	7	"r"	"SE"	"POTR"	5.00	22.05	0.32	3.52	6.26
33	"B"	3	7	"r"	"SE"	"POTR"	6.00	18.20	0.29	3.44	5.28
34	"B"	3	6	"s"	"NE"	"POTR"	1.00	24.40	0.34	3.13	7.78
35	"B"	3	6	"s"	"NE"	"POTR"	2.00	22.80	0.34	3.27	6.97
36	"B"	3	6	"s"	"NE"	"POTR"	3.00	22.70	0.32	3.20	7.09
37	"B"	3	6	"s"	"NE"	"POTR"	4.00	23.25	0.44	3.97	5.84
38	"B"	3	6	"s"	"NE"	"POTR"	5.00	22.90	0.38	3.37	6.78
39	"B"	3	6	"s"	"NE"	"POTR"	6.00	22.35	0.40	3.77	5.92
40	"B"	3	6	"s"	"NU"	"POTR"	1.00	19.15	0.25	3.08	6.20
