"rownum"	"gappos"	"vegtrt"	"species"	"obs"	"area"	"weight"
1	"NU"	"s"	"POTR"	1	19.03	0.09
2	"NU"	"s"	"POTR"	2	14.96	0.07
3	"NU"	"s"	"POTR"	3	21.27	0.10
4	"NU"	"s"	"POTR"	4	23.26	0.11
5	"NU"	"s"	"POTR"	5	21.05	0.09
6	"NU"	"s"	"POTR"	6	22.08	0.10
7	"C"	"s"	"POTR"	1	12.08	0.09
8	"C"	"s"	"POTR"	2	10.34	0.07
9	"C"	"s"	"POTR"	3	7.31	0.05
10	"C"	"s"	"POTR"	4	15.19	0.12
11	"C"	"s"	"POTR"	5	14.69	0.10
12	"C"	"s"	"POTR"	6	14.27	0.09
13	"SE"	"s"	"POTR"	1	28.57	0.21
14	"SE"	"s"	"POTR"	2	15.49	0.10
15	"SE"	"s"	"POTR"	3	15.76	0.12
16	"SE"	"s"	"POTR"	4	16.96	0.14
17	"SE"	"s"	"POTR"	5	13.45	0.07
18	"SE"	"s"	"POTR"	6	15.71	0.12
19	"NE"	"s"	"POTR"	1	9.34	0.05
20	"NE"	"s"	"POTR"	2	14.68	0.10
21	"NE"	"s"	"POTR"	3	12.62	0.08
22	"NE"	"s"	"POTR"	4	7.73	0.03
23	"NE"	"s"	"POTR"	5	11.78	0.06
24	"NE"	"s"	"POTR"	6	21.49	0.18
25	"NU"	"r"	"POTR"	1	18.90	0.09
26	"NU"	"r"	"POTR"	2	13.97	0.10
27	"NU"	"r"	"POTR"	3	17.25	0.10
28	"C"	"r"	"POTR"	1	10.35	0.08
29	"C"	"r"	"POTR"	2	15.30	0.12
30	"C"	"r"	"POTR"	3	11.28	0.08
31	"C"	"r"	"POTR"	4	8.50	0.07
32	"C"	"r"	"POTR"	5	12.20	0.09
33	"C"	"r"	"POTR"	6	14.12	0.09
34	"SE"	"r"	"POTR"	1	8.91	0.06
35	"SE"	"r"	"POTR"	2	13.86	0.09
36	"SE"	"r"	"POTR"	3	12.92	0.09
37	"SE"	"r"	"POTR"	4	6.52	0.04
38	"SE"	"r"	"POTR"	5	8.32	0.06
39	"SE"	"r"	"POTR"	6	7.80	0.05
40	"NE"	"r"	"POTR"	1	16.76	0.14
41	"NE"	"r"	"POTR"	2	8.37	0.07
42	"NE"	"r"	"POTR"	3	9.65	0.08
43	"NE"	"r"	"POTR"	4	9.99	0.09
44	"NE"	"r"	"POTR"	5	9.31	0.07
45	"NE"	"r"	"POTR"	6	17.46	0.13
46	"NU"	"s"	"PIGL"	1	3.97	0.05
47	"NU"	"s"	"PIGL"	2	2.66	0.05
48	"NU"	"s"	"PIGL"	3	4.21	0.07
49	"NU"	"s"	"PIGL"	4	3.08	0.04
50	"NU"	"s"	"PIGL"	5	3.65	0.05
51	"NU"	"s"	"PIGL"	6	2.46	0.03
52	"C"	"s"	"PIGL"	1	2.17	0.04
