species	veg.treat	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
PIGL	s	50	SE	A2-9	1	0.48	0.273	1.36	4.996941896
PIGL	s	50	SE	A2-9	3	0.41	0.144	1.11	7.682502897
PIGL	s	50	SE	A2-9	4	0.14	0.390	1.83	4.700854701
PIGL	s	50	SE	A2-9	5	1.08	0.206	1.30	6.322397732
PIGL	s	50	SE	A2-9	6	1.08	0.118	0.96	8.110403397
PIGL	s	1200	SE	A2-9	1	7.43	0.252	1.47	5.850993377
PIGL	s	1200	SE	A2-9	2	6.69	0.106	0.93	8.736263736
PIGL	s	1200	SE	A2-9	3	4.00	0.146	1.26	8.682703322
PIGL	s	1200	SE	A2-9	4	8.31	0.386	2.01	5.205183585
PIGL	s	1200	SE	A2-9	5	2.63	0.139	1.20	8.607442977
PIGL	s	1200	SE	A2-9	6	3.16	0.113	1.08	9.559147686
PIGL	s	50	SU	A2-9	1	0.38	0.093	0.84	9.052725648
PIGL	s	50	SU	A2-9	2	1.16	0.135	1.03	7.678018576
PIGL	s	50	SU	A2-9	3	0.55	0.074	0.70	9.36026936
PIGL	s	50	SU	A2-9	4	0.70	0.037	0.37	10.1369863
PIGL	s	50	SU	A2-9	5	0.68	0.069	0.63	9.200968523
PIGL	s	50	SU	A2-9	6	0.68	0.035	0.34	9.669030733
PIGL	s	1200	SU	A2-9	1	3.07	0.074	0.77	10.42986425
PIGL	s	1200	SU	A2-9	2	3.88	0.098	0.97	9.86417657
PIGL	s	1200	SU	A2-9	3	3.19	0.066	0.73	11.02402023
PIGL	s	1200	SU	A2-9	4	2.56	0.030	0.38	12.4109589
PIGL	s	1200	SU	A2-9	5	3.48	0.069	0.73	10.52821128
PIGL	s	1200	SU	A2-9	6	1.90	0.045	0.48	10.78066914
PIGL	s	50	NE	A2-9	4	1.18	0.037	0.38	10.34090909
PIGL	s	1200	NE	A2-9	1	3.74	0.023	0.20	8.678571429
PIGL	s	1200	NE	A2-9	2	6.83	0.034	0.27	8.02955665
PIGL	s	1200	NE	A2-9	3	4.83	0.037	0.33	8.977272727
PIGL	s	1200	NE	A2-9	4	5.07	0.054	0.51	9.36825886
PIGL	s	1200	NE	A2-9	5	4.35	0.073	0.67	9.14710933
PIGL	s	1200	NE	A2-9	6	5.75	0.104	0.94	9.052969502
PIGL	s	50	NU	A2-9	1	0.48	0.052	0.81	15.72815534
PIGL	s	50	NU	A2-9	2	0.97	0.037	0.54	14.71526196
PIGL	s	50	NU	A2-9	3	0.37	0.046	0.54	11.9047619
PIGL	s	50	NU	A2-9	5	0.73	0.025	0.29	11.25
PIGL	s	1200	NU	A2-9	1	2.88	0.063	0.97	15.37748344
PIGL	s	1200	NU	A2-9	2	3.85	0.023	0.41	17.85454545
PIGL	s	1200	NU	A2-9	3	2.87	0.051	0.60	11.60453809
PIGL	s	1200	NU	A2-9	4	2.42	0.022	0.27	12.11895911
PIGL	s	1200	NU	A2-9	5	3.41	0.047	0.55	11.7699115
PIGL	r	50	SE	A3-4	1	0.08	0.069	0.60	8.653846154
PIGL	r	50	SE	A3-4	3	0.17	0.020	0.20	10.08666942
PIGL	r	1200	SE	A3-4	1	2.00	0.052	0.53	10.14446228
PIGL	r	1200	SE	A3-4	2	1.56	0.034	0.38	11.33004926
PIGL	r	1200	SE	A3-4	3	1.62	0.036	0.41	11.24711316
PIGL	r	1200	SE	A3-4	4	2.75	0.032	0.34	10.51990391
PIGL	r	1200	SE	A3-4	5	1.32	0.070	0.56	8.011976048
PIGL	r	1200	SU	A3-4	2	3.13	0.023	0.35	15.35071612
PIGL	r	1200	SU	A3-4	3	2.12	0.016	0.29	18.37493362
PIGL	r	50	C	A3-4	1	1.22	0.065	0.80	12.32258065
PIGL	r	50	C	A3-4	4	0.88	0.047	0.50	10.65371025
PIGL	r	50	C	A3-4	5	0.61	0.137	1.59	11.62606577
PIGL	r	50	C	A3-4	6	1.12	0.071	0.86	12.19081272
PIGL	r	1200	C	A3-4	1	3.95	0.031	0.41	13.17204301
PIGL	r	1200	C	A3-4	2	7.21	0.076	1.47	19.27710843
PIGL	r	1200	C	A3-4	4	6.57	0.076	0.87	11.44432194
PIGL	r	1200	C	A3-4	5	5.53	0.068	0.96	14.03916769
PIGL	r	1200	C	A3-4	6	3.92	0.077	1.00	13.03030303
PIGL	r	50	NE	A3-4	1	0.11	0.026	0.65	25.12987013
PIGL	r	50	NE	A3-4	2	0.43	0.087	1.83	21.03250478
PIGL	r	50	NE	A3-4	3	0.32	0.065	1.16	17.76923077
PIGL	r	1200	NE	A3-4	1	5.76	0.096	1.96	20.34632035
PIGL	r	1200	NE	A3-4	2	4.18	0.087	2.07	23.84615385
PIGL	r	1200	NE	A3-4	3	4.34	0.084	1.62	19.36127745
PIGL	r	1200	NE	A3-4	4	1.54	0.048	0.85	17.86713287
PIGL	r	1200	NE	A3-4	5	3.48	0.045	0.91	20.23148148
PIGL	r	1200	NE	A3-4	6	4.20	0.058	1.18	20.2425107
PIGL	r	1200	NU	A3-4	5	1.37	0.017	0.55	31.89320388
PIGL	s	50	C	B3-6	1	0.92	0.031	0.42	13.76693767
PIGL	s	50	C	B3-6	2	0.75	0.072	0.94	13.05202312
PIGL	s	50	C	B3-6	3	0.22	0.128	1.98	15.55555556
PIGL	s	50	C	B3-6	5	0.27	0.160	1.70	10.63607925
PIGL	s	50	C	B3-6	6	2.03	0.113	1.38	12.16814159
PIGL	s	1200	C	B3-6	1	5.38	0.068	0.98	14.40636475
PIGL	s	1200	C	B3-6	2	7.10	0.093	1.36	14.63129496
PIGL	s	1200	C	B3-6	4	5.43	0.062	0.89	14.17890521
