species	origin	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
PIGL	p	50	C	A2-9	1	1.224166667	0.055357143	0.682142857	0.081151832
PIGL	p	50	C	A2-9	2	0	0.0755	1.202857143	0.062767221
PIGL	p	50	C	A2-9	3	1.6125	0.450714286	2.35	0.191793313
PIGL	p	50	C	A2-9	4	0.542666667	0.042047619	0.453333333	0.092752101
PIGL	p	50	C	A2-9	5	0.609166667	0.117285714	1.363571429	0.08601362
PIGL	p	50	C	A2-9	6	1.1175	0.060642857	0.739285714	0.082028986
PIGL	p	1200	C	A2-9	1	3.95	0.026571429	0.35	0.075918367
PIGL	p	1200	C	A2-9	2	7.208333333	0.065214286	1.257142857	0.051875
PIGL	p	1200	C	A2-9	3	7.722222222	0.45952381	2.242857143	0.204883227
PIGL	p	1200	C	A2-9	4	6.951851852	0.196365079	1.241904762	0.158116053
PIGL	p	1200	C	A2-9	5	6.155555556	0.073190476	0.990952381	0.073858722
PIGL	p	1200	C	A2-9	6	3.974074074	0.048911111	0.65531746	0.074637277
PIGL	p	50	NE	A2-9	1	1.085833333	0.002781086	0.022889857	0.121498605
PIGL	p	50	NE	A2-9	1	1.029135802	0.039827513	0.769867725	0.05173293
PIGL	p	50	NE	A2-9	2	0.081666667	0.018785714	0.145642857	0.128984796
PIGL	p	50	NE	A2-9	2	0.353600823	0.055228219	1.184241623	0.046635938
PIGL	p	50	NE	A2-9	3	0.1385	0.032428571	0.262857143	0.123369565
PIGL	p	50	NE	A2-9	3	0.110644719	0.049599882	0.965223398	0.051386946
PIGL	p	50	NE	A2-9	4	0.165916667	0.033928571	0.315	0.107709751
PIGL	p	50	NE	A2-9	4	0	0.030961866	0.597455418	0.051822889
PIGL	p	50	NE	A2-9	5	0	0.053642857	0.45	0.119206349
PIGL	p	50	NE	A2-9	5	0	0.042714286	0.704285714	0.060649087
PIGL	p	50	NE	A2-9	6	0	0.057357143	0.517857143	0.110758621
PIGL	p	50	NE	A2-9	6	0	0.05047619	0.981904762	0.051406402
PIGL	p	1200	NE	A2-9	1	3.741666667	0.02	0.173571429	0.115226337
PIGL	p	1200	NE	A2-9	1	3.638074074	0.071825397	1.446349206	0.049659789
PIGL	p	1200	NE	A2-9	2	5.225	0.025071429	0.202857143	0.123591549
PIGL	p	1200	NE	A2-9	2	4.001580247	0.073465608	1.663068783	0.044174726
PIGL	p	1200	NE	A2-9	3	4.833333333	0.031428571	0.282142857	0.111392405
PIGL	p	1200	NE	A2-9	3	4.344444444	0.071571429	1.385714286	0.051649485
PIGL	p	1200	NE	A2-9	4	5.066666667	0.046357143	0.434285714	0.106743421
