species	veg.treat	block	transect	gap.pos	irr	obs	ind	photo	cond	trmmol	wue
PIGL	r	A	A3-4	SU	50	2	1	0.430	0.043	0.568	0.00008
PIGL	r	A	A3-4	SU	50	3	2	0.387	0.010	0.168	0.00023
PIGL	r	A	A3-4	SU	50	5	3	0.508	0.006	0.115	0.00044
PIGL	r	A	A3-4	SE	50	1	4	0.080	0.069	0.600	0.00001
PIGL	r	A	A3-4	SE	50	2	5	0.202	0.013	0.141	0.00014
PIGL	r	A	A3-4	SE	50	3	6	0.129	0.028	0.267	0.00005
PIGL	r	A	A3-4	SE	50	6	7	3.683	0.431	1.383	0.00027
PIGL	r	A	A3-4	C	50	1	8	1.224	0.065	0.796	0.00015
PIGL	r	A	A3-4	C	50	2	9	0.109	0.107	1.667	0.00001
PIGL	r	A	A3-4	C	50	3	10	1.613	0.526	2.742	0.00006
PIGL	r	A	A3-4	C	50	4	11	0.882	0.047	0.503	0.00018
PIGL	r	A	A3-4	C	50	5	12	0.609	0.137	1.591	0.00004
PIGL	r	A	A3-4	C	50	6	13	1.118	0.071	0.863	0.00013
PIGL	r	A	A3-4	NE	50	1	14	0.108	0.026	0.645	0.00002
PIGL	r	A	A3-4	NE	50	2	15	0.427	0.087	1.833	0.00002
PIGL	r	A	A3-4	NE	50	3	16	0.318	0.065	1.155	0.00003
PIGL	r	A	A3-4	NU	50	6	17	1.100	0.002	0.045	0.00243
PIGL	r	B	B3-2	SU	50	1	18	0.380	0.093	0.844	0.00005
PIGL	r	B	B3-2	SU	50	2	19	1.164	0.135	1.033	0.00011
PIGL	r	B	B3-2	SU	50	3	20	0.550	0.074	0.695	0.00008
PIGL	r	B	B3-2	SU	50	4	21	0.396	0.038	0.387	0.00010
PIGL	r	B	B3-2	SU	50	5	22	4.929	0.076	0.684	0.00072
PIGL	r	B	B3-2	SU	50	6	23	0.678	0.035	0.341	0.00020
PIGL	r	B	B3-2	SE	50	1	24	1.683	0.032	0.447	0.00038
PIGL	r	B	B3-2	SE	50	2	25	1.711	0.076	0.808	0.00021
PIGL	r	B	B3-2	SE	50	3	26	1.130	0.086	0.908	0.00012
PIGL	r	B	B3-2	SE	50	4	27	2.300	0.041	0.536	0.00043
PIGL	r	B	B3-2	SE	50	5	28	0.141	0.058	0.700	0.00002
PIGL	r	B	B3-2	SE	50	6	29	1.769	0.047	0.612	0.00029
PIGL	r	B	B3-2	C	50	2	30	1.386	0.023	0.176	0.00079
PIGL	r	B	B3-2	C	50	3	31	1.255	0.054	0.430	0.00029
PIGL	r	B	B3-2	C	50	4	32	2.758	0.034	0.227	0.00121
PIGL	r	B	B3-2	C	50	5	33	1.494	0.159	1.021	0.00015
PIGL	r	B	B3-2	C	50	6	34	1.983	0.055	0.379	0.00052
PIGL	r	B	B3-2	NE	50	2	35	0.503	0.044	0.463	0.00011
PIGL	r	B	B3-2	NE	50	5	36	1.712	0.008	0.088	0.00195
PIGL	r	B	B3-2	NE	50	6	37	0.467	0.009	0.091	0.00051
PIGL	r	B	B3-2	NU	50	2	38	3.525	0.017	0.130	0.00271
PIGL	r	B	B3-2	NU	50	4	39	3.383	0.040	0.267	0.00127
PIGL	s	A	A2-9	SU	50	1	40	0.380	0.093	0.844	0.00005
PIGL	s	A	A2-9	SU	50	2	41	1.164	0.135	1.033	0.00011
PIGL	s	A	A2-9	SU	50	3	42	0.550	0.074	0.695	0.00008
PIGL	s	A	A2-9	SU	50	4	43	0.396	0.038	0.387	0.00010
PIGL	s	A	A2-9	SU	50	5	44	4.929	0.076	0.684	0.00072
PIGL	s	A	A2-9	SU	50	6	45	0.678	0.035	0.341	0.00020
PIGL	s	A	A2-9	SE	50	1	46	0.479	0.273	1.362	0.00004
PIGL	s	A	A2-9	SE	50	3	47	0.413	0.144	1.105	0.00004
PIGL	s	A	A2-9	SE	50	4	48	0.141	0.390	1.833	0.00001
PIGL	s	A	A2-9	SE	50	5	49	1.082	0.206	1.301	0.00008
PIGL	s	A	A2-9	SE	50	6	50	1.083	0.118	0.955	0.00011
PIGL	s	A	A2-9	C	50	2	51	0.482	0.084	0.783	0.00006
PIGL	s	A	A2-9	C	50	4	52	0.913	0.022	0.283	0.00032
PIGL	s	A	A2-9	C	50	5	53	0.077	0.021	0.270	0.00003
PIGL	s	A	A2-9	C	50	6	54	0.740	0.048	0.465	0.00016
PIGL	s	A	A2-9	NE	50	1	55	1.610	0.007	0.054	0.00301
PIGL	s	A	A2-9	NE	50	2	56	1.274	0.009	0.072	0.00178
PIGL	s	A	A2-9	NE	50	3	57	0.427	0.046	0.362	0.00012
PIGL	s	A	A2-9	NE	50	4	58	0.450	0.029	0.275	0.00016
PIGL	s	A	A2-9	NU	50	1	59	0.480	0.052	0.810	0.00006
PIGL	s	A	A2-9	NU	50	2	60	0.972	0.037	0.538	0.00018
PIGL	s	A	A2-9	NU	50	4	61	0.417	0.005	0.059	0.00071
PIGL	s	A	A2-9	NU	50	5	62	0.728	0.025	0.285	0.00026
PIGL	s	A	A2-9	NU	50	6	63	0.368	0.046	0.542	0.00007
PIGL	s	B	B3-6	SU	50	1	64	2.885	0.046	0.579	0.00050
PIGL	s	B	B3-6	SU	50	2	65	1.760	0.019	0.219	0.00080
PIGL	s	B	B3-6	SU	50	3	66	3.933	0.022	0.271	0.00145
PIGL	s	B	B3-6	SU	50	4	67	5.300	0.067	0.793	0.00067
PIGL	s	B	B3-6	SU	50	4	68	2.858	0.046	0.493	0.00058
PIGL	s	B	B3-6	SU	50	5	69	2.742	0.059	0.648	0.00042
PIGL	s	B	B3-6	SU	50	6	70	2.325	0.064	0.713	0.00033
PIGL	s	B	B3-6	SE	50	1	71	0.277	0.060	0.515	0.00005
PIGL	s	B	B3-6	SE	50	2	72	0.823	0.107	0.830	0.00010
PIGL	s	B	B3-6	SE	50	3	73	0.513	0.089	0.677	0.00008
PIGL	s	B	B3-6	SE	50	4	74	0.626	0.046	0.351	0.00018
PIGL	s	B	B3-6	SE	50	5	75	0.635	0.042	0.333	0.00019
PIGL	s	B	B3-6	SE	50	6	76	0.604	0.100	0.821	0.00007
PIGL	s	B	B3-6	C	50	1	77	0.920	0.031	0.423	0.00022
PIGL	s	B	B3-6	C	50	2	78	0.753	0.072	0.941	0.00008
PIGL	s	B	B3-6	C	50	3	79	4.542	0.082	1.427	0.00032
PIGL	s	B	B3-6	C	50	3	80	0.218	0.128	1.983	0.00001
PIGL	s	B	B3-6	C	50	6	81	2.033	0.113	1.375	0.00015
PIGL	s	B	B3-6	NE	50	1	82	1.155	0.038	0.541	0.00021
PIGL	s	B	B3-6	NE	50	2	83	0.947	0.057	0.739	0.00013
PIGL	s	B	B3-6	NE	50	3	84	0.965	0.078	1.010	0.00010
PIGL	s	B	B3-6	NE	50	5	85	0.332	0.053	0.738	0.00004
PIGL	s	B	B3-6	NE	50	6	86	0.147	0.055	0.755	0.00002
PIGL	s	B	B3-6	NU	50	1	87	0.239	0.030	0.373	0.00006
PIGL	s	B	B3-6	NU	50	2	88	1.418	0.062	0.692	0.00020
PIGL	s	B	B3-6	NU	50	3	89	0.379	0.024	0.287	0.00013
PIGL	s	B	B3-6	NU	50	4	90	1.345	0.052	0.634	0.00021
PIGL	s	B	B3-6	NU	50	5	91	0.768	0.073	0.934	0.00008
PIGL	s	B	B3-6	NU	50	6	92	0.308	0.089	1.164	0.00003
POTR	r	A	A3-4	SE	50	4	93	0.744	0.367	1.928	0.00004
POTR	r	A	A3-4	SE	50	5	94	1.358	0.230	1.793	0.00008
POTR	r	A	A3-4	NE	50	1	95	1.550	0.159	1.625	0.00010
POTR	r	A	A3-4	NE	50	2	96	0.466	0.107	1.185	0.00004
POTR	r	A	A3-4	NE	50	3	97	0.820	0.154	2.070	0.00004
POTR	r	A	A3-4	NE	50	5	98	0.446	0.373	4.260	0.00001
POTR	r	A	A3-4	NE	50	6	99	5.300	0.184	2.650	0.00020
POTR	r	A	A3-4	NU	50	1	100	0.928	0.226	2.945	0.00003
POTR	r	A	A3-4	NU	50	2	101	1.111	0.139	1.815	0.00006
POTR	r	A	A3-4	NU	50	3	102	0.611	0.195	2.210	0.00003
POTR	r	B	B3-2	SU	50	1	103	2.820	0.136	1.330	0.00021
POTR	r	B	B3-2	SU	50	2	104	2.710	0.209	1.840	0.00015
POTR	r	B	B3-2	SU	50	3	105	3.000	0.250	2.030	0.00015
POTR	r	B	B3-2	SU	50	4	106	3.180	0.201	1.650	0.00019
POTR	r	B	B3-2	SU	50	5	107	3.490	0.283	2.080	0.00017
POTR	r	B	B3-2	SU	50	6	108	2.840	0.244	1.870	0.00015
POTR	r	B	B3-2	SE	50	1	109	2.400	0.224	2.660	0.00009
POTR	r	B	B3-2	SE	50	2	110	2.610	0.243	2.740	0.00010
POTR	r	B	B3-2	SE	50	3	111	2.670	0.289	3.130	0.00009
POTR	r	B	B3-2	SE	50	4	112	2.100	0.295	3.090	0.00007
POTR	r	B	B3-2	SE	50	5	113	4.180	0.280	4.090	0.00010
POTR	r	B	B3-2	SE	50	6	114	2.070	0.249	3.020	0.00007
POTR	r	B	B3-2	C	50	1	115	1.390	0.259	2.430	0.00006
POTR	r	B	B3-2	C	50	2	116	0.806	0.369	2.960	0.00003
POTR	r	B	B3-2	C	50	3	117	1.230	0.456	3.390	0.00004
POTR	r	B	B3-2	C	50	4	118	1.050	0.403	2.600	0.00004
POTR	r	B	B3-2	C	50	5	119	0.856	0.469	3.510	0.00002
POTR	r	B	B3-2	C	50	6	120	1.000	0.494	3.670	0.00003
POTR	r	B	B3-2	NU	50	1	121	1.880	0.292	2.930	0.00006
POTR	r	B	B3-2	NU	50	2	122	1.130	0.296	3.210	0.00004
POTR	r	B	B3-2	NU	50	3	123	1.510	0.412	3.340	0.00005
POTR	r	B	B3-2	NU	50	4	124	0.829	0.313	3.330	0.00002
POTR	r	B	B3-2	NU	50	5	125	1.560	0.109	1.460	0.00011
POTR	r	B	B3-2	NU	50	6	126	2.310	0.209	2.250	0.00010
POTR	s	A	A2-9	SE	50	1	127	1.720	0.274	1.595	0.00011
POTR	s	A	A2-9	SE	50	2	128	2.540	0.235	1.660	0.00015
POTR	s	A	A2-9	SE	50	3	129	1.785	0.234	1.625	0.00011
POTR	s	A	A2-9	SE	50	4	130	1.840	0.230	1.645	0.00011
POTR	s	A	A2-9	SE	50	5	131	1.540	0.273	1.915	0.00008
POTR	s	A	A2-9	SE	50	6	132	0.889	0.223	1.695	0.00005
POTR	s	A	A2-9	C	50	1	133	0.575	0.259	2.125	0.00003
POTR	s	A	A2-9	C	50	2	134	0.630	0.287	2.175	0.00003
POTR	s	A	A2-9	C	50	3	135	1.335	0.020	0.354	0.00038
POTR	s	A	A2-9	C	50	3	136	0.785	0.118	1.115	0.00007
