block	veg.treat	gap	transect	species	gap.pos	obs	plasticity
A	s	A2	A2-9	PIGL	NE	1	0.569710468
A	s	A2	A2-9	PIGL	SU	1	0.876086957
A	s	A2	A2-9	PIGL	SE	1	0.935538117
A	s	A2	A2-9	PIGL	SU	2	0.699569892
A	s	A2	A2-9	PIGL	NU	2	0.747619048
A	s	A2	A2-9	PIGL	NE	2	0.756140351
A	s	A2	A2-9	PIGL	C	2	0.866866359
A	s	A2	A2-9	PIGL	SU	3	0.82767624
A	s	A2	A2-9	PIGL	SE	3	0.896666667
A	s	A2	A2-9	PIGL	NE	3	0.911724138
A	s	A2	A2-9	PIGL	C	4	0.554471545
A	s	A2	A2-9	PIGL	NU	4	0.833333333
A	s	A2	A2-9	PIGL	SU	4	0.84504886
A	s	A2	A2-9	PIGL	NE	4	0.911184211
A	s	A2	A2-9	PIGL	SE	4	0.983069208
A	s	A2	A2-9	PIGL	SE	5	0.587936508
A	s	A2	A2-9	PIGL	NU	5	0.786308068
A	s	A2	A2-9	PIGL	C	5	0.964341085
A	s	A2	A2-9	PIGL	SU	6	0.643763676
A	s	A2	A2-9	PIGL	SE	6	0.657255937
A	s	A2	A2-9	PIGL	C	6	0.716198083
A	s	A2	A2-9	PIGL	NU	6	0.877272727
A	s	A2	A2-9	POTR	NE	1	0.780327869
A	s	A2	A2-9	POTR	SE	1	0.890095847
A	s	A2	A2-9	POTR	NU	1	0.904317343
A	s	A2	A2-9	POTR	C	1	0.948660714
A	s	A2	A2-9	POTR	SE	2	0.824827586
A	s	A2	A2-9	POTR	NU	2	0.861885246
A	s	A2	A2-9	POTR	NE	2	0.889527027
A	s	A2	A2-9	POTR	C	2	0.895083333
A	s	A2	A2-9	POTR	C	3	0.796895213
A	s	A2	A2-9	POTR	NU	3	0.85974026
A	s	A2	A2-9	POTR	SE	3	0.879391892
A	s	A2	A2-9	POTR	NE	3	0.909607143
A	s	A2	A2-9	POTR	SE	4	0.865693431
A	s	A2	A2-9	POTR	NU	4	0.890734824
A	s	A2	A2-9	POTR	NE	4	0.90546875
A	s	A2	A2-9	POTR	C	4	0.928006873
A	s	A2	A2-9	POTR	C	5	0.835350318
A	s	A2	A2-9	POTR	NE	5	0.88173913
A	s	A2	A2-9	POTR	NU	5	0.906953642
A	s	A2	A2-9	POTR	SE	5	0.907228916
A	s	A2	A2-9	POTR	C	6	0.8645
A	s	A2	A2-9	POTR	NE	6	0.882
A	s	A2	A2-9	POTR	NU	6	0.9325
A	s	A2	A2-9	POTR	SE	6	0.938512111
A	r	A3	A3-4	PIGL	C	1	0.690084388
A	r	A3	A3-4	PIGL	SE	1	0.960125
A	r	A3	A3-4	PIGL	NE	1	0.981186686
A	r	A3	A3-4	PIGL	SE	2	0.870933333
A	r	A3	A3-4	PIGL	SU	2	0.880185759
A	r	A3	A3-4	PIGL	NE	2	0.898007968
A	r	A3	A3-4	PIGL	C	2	0.984855491
A	r	A3	A3-4	PIGL	C	3	0.79118705
A	r	A3	A3-4	PIGL	SU	3	0.817322835
A	r	A3	A3-4	PIGL	SE	3	0.920432321
A	r	A3	A3-4	PIGL	NE	3	0.923904382
A	r	A3	A3-4	PIGL	C	4	0.865736041
A	r	A3	A3-4	PIGL	SU	5	0.778985507
A	r	A3	A3-4	PIGL	C	5	0.901037906
A	r	A3	A3-4	PIGL	C	6	0.612427746
A	r	A3	A3-4	POTR	NE	1	0.900641026
A	r	A3	A3-4	POTR	NU	1	0.928592308
A	r	A3	A3-4	POTR	NU	2	0.885286526
A	r	A3	A3-4	POTR	NE	2	0.953192559
A	r	A3	A3-4	POTR	NE	3	0.928070175
A	r	A3	A3-4	POTR	NU	3	0.949083333
A	r	A3	A3-4	POTR	SE	4	0.916987448
A	r	A3	A3-4	POTR	SE	5	0.801643836
A	r	A3	A3-4	POTR	NE	5	0.967681159
A	r	A3	A3-4	POTR	NE	6	0.592307692
B	r	B3	B3-2	PIGL	SE	1	0.723736047
B	r	B3	B3-2	PIGL	SU	1	0.876100424
B	r	B3	B3-2	PIGL	NU	2	0.578147439
B	r	B3	B3-2	PIGL	SU	2	0.699612903
B	r	B3	B3-2	PIGL	SE	2	0.772382599
B	r	B3	B3-2	PIGL	C	2	0.838216412
B	r	B3	B3-2	PIGL	NE	2	0.91876615
B	r	B3	B3-2	PIGL	SU	3	0.827694236
B	r	B3	B3-2	PIGL	SE	3	0.860493827
B	r	B3	B3-2	PIGL	C	3	0.887018365
B	r	B3	B3-2	PIGL	SE	4	0.547511312
B	r	B3	B3-2	PIGL	NU	4	0.633596881
B	r	B3	B3-2	PIGL	C	4	0.751710479
B	r	B3	B3-2	PIGL	SU	4	0.845191556
B	r	B3	B3-2	PIGL	NE	5	0.81787234
B	r	B3	B3-2	PIGL	C	5	0.874369324
B	r	B3	B3-2	PIGL	SE	5	0.976949485
B	r	B3	B3-2	PIGL	SE	6	0.604692737
B	r	B3	B3-2	PIGL	SU	6	0.643907563
B	r	B3	B3-2	PIGL	C	6	0.6495228
B	r	B3	B3-2	PIGL	NE	6	0.938006106
B	r	B3	B3-2	POTR	SU	1	0.770731707
B	r	B3	B3-2	POTR	NU	1	0.863768116
B	r	B3	B3-2	POTR	SE	1	0.871657754
B	r	B3	B3-2	POTR	C	1	0.92320442
B	r	B3	B3-2	POTR	SU	2	0.829559748
B	r	B3	B3-2	POTR	SE	2	0.864766839
B	r	B3	B3-2	POTR	NU	2	0.929375
B	r	B3	B3-2	POTR	C	2	0.959900498
B	r	B3	B3-2	POTR	SU	3	0.820359281
B	r	B3	B3-2	POTR	NU	3	0.877235772
B	r	B3	B3-2	POTR	SE	3	0.878082192
B	r	B3	B3-2	POTR	C	3	0.94057971
B	r	B3	B3-2	POTR	SU	4	0.789403974
B	r	B3	B3-2	POTR	SE	4	0.899038462
B	r	B3	B3-2	POTR	C	4	0.945876289
B	r	B3	B3-2	POTR	NU	4	0.948509317
B	r	B3	B3-2	POTR	NU	5	0.769230769
B	r	B3	B3-2	POTR	SU	5	0.77483871
B	r	B3	B3-2	POTR	SE	5	0.81
B	r	B3	B3-2	POTR	C	5	0.964773663
B	r	B3	B3-2	POTR	SU	6	0.757264957
B	r	B3	B3-2	POTR	NU	6	0.79
B	r	B3	B3-2	POTR	SE	6	0.891052632
B	r	B3	B3-2	POTR	C	6	0.956140351
B	s	B3	B3-6	PIGL	SU	1	0.493859649
B	s	B3	B3-6	PIGL	NE	1	0.75
B	s	B3	B3-6	PIGL	C	1	0.829091585
B	s	B3	B3-6	PIGL	NU	1	0.850250627
B	s	B3	B3-6	PIGL	SE	1	0.854821803
B	s	B3	B3-6	PIGL	SU	2	0.574365175
B	s	B3	B3-6	PIGL	NU	2	0.602467059
B	s	B3	B3-6	PIGL	NE	2	0.716890882
B	s	B3	B3-6	PIGL	SE	2	0.861866398
B	s	B3	B3-6	PIGL	C	2	0.893943662
B	s	B3	B3-6	PIGL	NE	3	0.810784314
B	s	B3	B3-6	PIGL	NU	3	0.837548221
B	s	B3	B3-6	PIGL	SE	3	0.885796972
B	s	B3	B3-6	PIGL	C	3	0.959815668
B	s	B3	B3-6	PIGL	NU	4	0.622932436
B	s	B3	B3-6	PIGL	SE	4	0.831584611
B	s	B3	B3-6	PIGL	SU	5	0.466744457
B	s	B3	B3-6	PIGL	SE	5	0.746810207
B	s	B3	B3-6	PIGL	NU	5	0.842461538
B	s	B3	B3-6	PIGL	NE	5	0.856711265
B	s	B3	B3-6	PIGL	SU	6	0.573394495
B	s	B3	B3-6	PIGL	C	6	0.652478632
B	s	B3	B3-6	PIGL	SE	6	0.845800357
B	s	B3	B3-6	PIGL	NU	6	0.951304348
B	s	B3	B3-6	PIGL	NE	6	0.962384852
B	s	B3	B3-6	POTR	SU	1	0.723853211
B	s	B3	B3-6	POTR	NU	1	0.756657963
B	s	B3	B3-6	POTR	NE	1	0.818442623
B	s	B3	B3-6	POTR	SE	1	0.891826923
B	s	B3	B3-6	POTR	C	1	0.933400223
B	s	B3	B3-6	POTR	SU	2	0.688461538
B	s	B3	B3-6	POTR	NU	2	0.754945055
B	s	B3	B3-6	POTR	NE	2	0.81995614
B	s	B3	B3-6	POTR	SE	2	0.836942675
B	s	B3	B3-6	POTR	C	2	0.901775148
B	s	B3	B3-6	POTR	SU	3	0.455319149
B	s	B3	B3-6	POTR	NU	3	0.686731392
B	s	B3	B3-6	POTR	NE	3	0.804845815
B	s	B3	B3-6	POTR	SE	3	0.860509554
B	s	B3	B3-6	POTR	C	3	0.94942029
B	s	B3	B3-6	POTR	SU	4	0.633980583
B	s	B3	B3-6	POTR	NU	4	0.714906832
B	s	B3	B3-6	POTR	NE	4	0.809247312
B	s	B3	B3-6	POTR	SE	4	0.832934132
B	s	B3	B3-6	POTR	C	4	0.965
B	s	B3	B3-6	POTR	SU	5	0.583433373
B	s	B3	B3-6	POTR	NU	5	0.733742331
B	s	B3	B3-6	POTR	NE	5	0.834279476
B	s	B3	B3-6	POTR	SE	5	0.867428571
B	s	B3	B3-6	POTR	C	5	0.986225895
B	s	B3	B3-6	POTR	SU	6	0.708490566
B	s	B3	B3-6	POTR	NU	6	0.784686775
B	s	B3	B3-6	POTR	NE	6	0.785234899
B	s	B3	B3-6	POTR	SE	6	0.856603774
B	s	B3	B3-6	POTR	C	6	0.935696203
