"treenum"	"date"	"HMS"	"obsnum"	"time"	"photo"	"cond"	"ci"	"trmmol"	"VpdL"	"Area"	"StmRat"	"BLCond"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"C2Mch"	"H2Mch"
15	7/2/1998 0:00:00	12/30/1899 15:57:08	1.00	57.91	2.86	0.09	291.00	1.01	1.10	6.00	0.00	1.42	21.14	19.82	21.76	354.30	350.40	11.75	12.95	44.07	48.56	500.40	49.97	0.09	94.41	2.50	0.55
15	7/2/1998 0:00:00	12/30/1899 15:57:08	2.00	93.16	2.57	0.09	298.00	1.04	1.10	6.00	0.00	1.42	21.28	19.80	20.90	354.40	350.90	11.67	12.90	43.37	47.96	500.30	50.37	0.74	94.41	2.50	0.55
68	7/7/1998 0:00:00	12/30/1899 12:16:16	1.00	249.93	0.14	0.23	342.00	2.33	1.03	6.00	0.00	1.42	26.70	26.26	26.11	350.10	349.00	22.78	25.50	60.80	68.05	500.60	49.54	0.15	93.88	3.10	0.97
68	7/7/1998 0:00:00	12/30/1899 12:16:16	2.00	267.18	0.22	0.23	341.00	2.30	1.02	6.00	0.00	1.42	26.61	26.24	25.87	350.30	349.10	22.86	25.55	61.35	68.57	500.60	49.43	0.30	93.88	3.10	0.97
36	7/6/1998 0:00:00	12/30/1899 14:13:16	1.00	228.14	4.38	0.26	314.00	2.23	0.92	6.00	0.00	1.42	23.83	22.99	23.56	356.40	350.20	17.57	20.19	55.55	63.83	500.40	50.32	0.44	93.74	-0.10	0.02
36	7/6/1998 0:00:00	12/30/1899 14:13:16	2.00	249.88	4.48	0.26	313.00	2.24	0.92	6.00	0.00	1.42	23.82	22.96	23.55	356.50	350.20	17.51	20.14	55.39	63.72	500.50	50.47	0.50	93.74	-0.10	0.02
69	7/7/1998 0:00:00	12/30/1899 12:12:02	1.00	163.43	0.30	0.30	342.00	2.93	1.07	6.00	0.00	1.42	27.70	25.97	27.96	351.50	349.90	21.09	24.52	53.11	61.75	500.50	49.85	0.20	93.88	3.10	0.97
69	7/7/1998 0:00:00	12/30/1899 12:12:02	2.00	179.18	0.33	0.30	342.00	2.93	1.06	6.00	0.00	1.42	27.55	25.97	27.62	351.60	349.90	21.13	24.56	53.68	62.38	500.60	49.78	0.45	93.88	3.10	0.97
35	7/6/1998 0:00:00	12/30/1899 14:10:09	1.00	124.14	4.11	0.27	319.00	2.18	0.85	6.00	0.00	1.42	23.64	22.98	22.93	357.20	351.40	18.36	20.92	58.72	66.92	500.60	48.88	0.46	93.74	-0.10	0.02
35	7/6/1998 0:00:00	12/30/1899 14:10:09	2.00	145.14	4.10	0.28	319.00	2.22	0.86	6.00	0.00	1.42	23.62	23.02	22.98	357.10	351.30	18.31	20.92	58.62	66.97	500.30	48.78	0.39	93.74	-0.10	0.02
57	7/7/1998 0:00:00	12/30/1899 15:53:54	1.00	95.93	1.69	0.44	337.00	2.38	0.63	6.00	0.00	1.42	26.41	26.20	25.29	354.80	348.80	24.10	29.64	65.41	80.44	250.00	49.30	1.06	93.80	2.90	0.70
57	7/7/1998 0:00:00	12/30/1899 15:53:54	2.00	122.18	1.72	0.45	337.00	2.35	0.61	6.00	0.00	1.42	26.39	26.05	25.50	354.60	348.50	24.00	29.48	65.21	80.09	250.10	49.79	1.14	93.81	2.90	0.70
