"treenum"	"transect"	"gappos"	"species"	"ind"
1	6	"SE"	"POTR"	1.00
2	6	"SE"	"POTR"	2.00
3	6	"SE"	"POTR"	3.00
4	6	"SE"	"POTR"	4.00
5	6	"SE"	"POTR"	5.00
6	6	"SE"	"POTR"	6.00
7	6	"SU"	"POTR"	1.00
8	6	"SU"	"POTR"	2.00
9	6	"SU"	"POTR"	3.00
10	6	"SU"	"POTR"	4.00
11	6	"SU"	"POTR"	5.00
12	6	"SU"	"POTR"	6.00
13	7	"SU"	"ALIN"	1.00
14	7	"SU"	"ALIN"	2.00
15	7	"SU"	"ALIN"	3.00
16	7	"SU"	"POTR"	1.00
17	7	"SU"	"POTR"	2.00
18	7	"SU"	"POTR"	3.00
19	7	"SU"	"POTR"	4.00
20	7	"SU"	"POTR"	5.00
21	7	"SU"	"POTR"	6.00
22	6	"C"	"POTR"	1.00
23	6	"C"	"POTR"	2.00
24	6	"C"	"POTR"	3.00
25	6	"C"	"POTR"	4.00
26	6	"C"	"POTR"	5.00
27	6	"C"	"POTR"	6.00
28	7	"SE"	"POTR"	1.00
29	7	"SE"	"POTR"	2.00
30	7	"SE"	"POTR"	3.00
31	7	"SE"	"POTR"	4.00
32	7	"SE"	"POTR"	5.00
33	7	"SE"	"POTR"	6.00
34	6	"NE"	"POTR"	1.00
35	6	"NE"	"POTR"	2.00
36	6	"NE"	"POTR"	3.00
37	6	"NE"	"POTR"	4.00
38	6	"NE"	"POTR"	5.00
39	6	"NE"	"POTR"	6.00
40	6	"NU"	"POTR"	1.00
41	6	"NU"	"POTR"	2.00
42	6	"NU"	"POTR"	3.00
43	6	"NU"	"POTR"	4.00
44	6	"NU"	"POTR"	5.00
45	6	"NU"	"POTR"	6.00
46	7	"C"	"ALIN"	1.00
47	7	"C"	"ALIN"	2.00
48	7	"C"	"ALIN"	3.00
49	7	"C"	"POTR"	1.00
50	7	"C"	"POTR"	2.00
51	7	"C"	"POTR"	3.00
52	7	"C"	"POTR"	4.00
53	7	"C"	"POTR"	5.00
54	7	"C"	"POTR"	6.00
55	6	"C"	"ALIN"	1.00
56	6	"C"	"ALIN"	2.00
57	6	"C"	"ALIN"	3.00
58	6	"SU"	"ALIN"	1.00
59	6	"SU"	"ALIN"	2.00
60	6	"SU"	"ALIN"	3.00
61	6	"SU"	"POTR"	1.00
62	6	"SU"	"POTR"	2.00
63	6	"SU"	"POTR"	3.00
64	7	"NE"	"POTR"	1.00
65	7	"NE"	"POTR"	2.00
66	7	"NE"	"POTR"	3.00
67	7	"NE"	"POTR"	4.00
68	7	"NE"	"POTR"	5.00
69	7	"NE"	"POTR"	6.00
70	7	"NU"	"POTR"	1.00
71	7	"NU"	"POTR"	2.00
72	7	"NU"	"POTR"	3.00
73	7	"NU"	"POTR"	4.00
74	7	"NU"	"POTR"	5.00
75	7	"NU"	"POTR"	6.00
76	9	"C"	"POTR"	1.00
77	9	"C"	"POTR"	2.00
78	9	"C"	"POTR"	3.00
79	9	"C"	"POTR"	4.00
80	9	"C"	"POTR"	5.00
81	9	"C"	"POTR"	6.00
82	9	"SE"	"POTR"	1.00
83	9	"SE"	"POTR"	2.00
84	9	"SE"	"POTR"	3.00
85	9	"SE"	"POTR"	4.00
86	9	"SE"	"POTR"	5.00
87	9	"SE"	"POTR"	6.00
88	9	"SE"	"PIGL"	1.00
89	9	"SE"	"PIGL"	2.00
90	9	"SE"	"PIGL"	3.00
91	9	"SE"	"PIGL"	4.00
92	9	"SE"	"PIGL"	5.00
93	9	"SE"	"PIGL"	6.00
94	9	"SU"	"PIGL"	1.00
95	9	"SU"	"PIGL"	2.00
96	9	"SU"	"PIGL"	3.00
97	9	"SU"	"PIGL"	4.00
98	9	"SU"	"PIGL"	5.00
99	9	"SU"	"PIGL"	6.00
100	9	"C"	"POTR"	1.00
101	9	"C"	"POTR"	2.00
102	9	"C"	"POTR"	3.00
103	9	"C"	"POTR"	4.00
104	9	"C"	"POTR"	5.00
105	9	"C"	"POTR"	6.00
106	9	"NE"	"PIGL"	1.00
107	9	"NE"	"PIGL"	2.00
108	9	"NE"	"PIGL"	3.00
109	9	"NE"	"PIGL"	4.00
110	9	"NE"	"PIGL"	5.00
111	9	"NE"	"PIGL"	6.00
112	9	"NE"	"POTR"	1.00
113	9	"NE"	"POTR"	2.00
114	9	"NE"	"POTR"	3.00
115	9	"NE"	"POTR"	4.00
116	9	"NE"	"POTR"	5.00
117	9	"NE"	"POTR"	6.00
118	9	"NU"	"PIGL"	1.00
119	9	"NU"	"PIGL"	2.00
120	9	"NU"	"PIGL"	3.00
121	9	"NU"	"PIGL"	4.00
122	9	"NU"	"PIGL"	5.00
123	9	"NU"	"PIGL"	6.00
124	9	"NU"	"POTR"	1.00
125	9	"NU"	"POTR"	2.00
126	9	"NU"	"POTR"	3.00
127	9	"NU"	"POTR"	4.00
128	9	"NU"	"POTR"	5.00
129	9	"NU"	"POTR"	6.00
130	4	"C"	"POTR"	1.00
131	4	"C"	"POTR"	2.00
132	4	"C"	"POTR"	3.00
133	4	"C"	"POTR"	4.00
134	4	"C"	"POTR"	5.00
135	4	"C"	"POTR"	6.00
136	4	"SE"	"PIGL"	1.00
137	4	"SE"	"PIGL"	2.00
138	4	"SE"	"PIGL"	3.00
139	4	"SE"	"PIGL"	4.00
140	4	"SE"	"PIGL"	5.00
141	4	"SE"	"PIGL"	6.00
142	4	"SE"	"POTR"	1.00
143	4	"SE"	"POTR"	2.00
144	4	"SE"	"POTR"	3.00
145	4	"SE"	"POTR"	4.00
146	4	"SE"	"POTR"	5.00
147	4	"SE"	"POTR"	6.00
148	4	"SU"	"PIGL"	1.00
149	4	"SU"	"PIGL"	2.00
150	4	"SU"	"PIGL"	3.00
151	4	"SU"	"PIGL"	5.00
152	4	"SU"	"PIGL"	6.00
153	4	"C"	"PIGL"	1.00
154	4	"C"	"PIGL"	2.00
155	4	"C"	"PIGL"	3.00
156	4	"C"	"PIGL"	4.00
157	4	"C"	"PIGL"	5.00
158	4	"C"	"PIGL"	6.00
159	4	"NE"	"PIGL"	1.00
160	4	"NE"	"PIGL"	2.00
161	4	"NE"	"PIGL"	3.00
162	4	"NE"	"PIGL"	4.00
163	4	"NE"	"PIGL"	5.00
164	4	"NE"	"PIGL"	6.00
165	4	"NE"	"POTR"	1.00
166	4	"NE"	"POTR"	2.00
167	4	"NE"	"POTR"	3.00
168	4	"NE"	"POTR"	4.00
169	4	"NE"	"POTR"	5.00
170	4	"NE"	"POTR"	6.00
171	4	"NU"	"PIGL"	1.00
172	4	"NU"	"PIGL"	2.00
173	4	"NU"	"PIGL"	3.00
174	4	"NU"	"PIGL"	4.00
175	4	"NU"	"PIGL"	5.00
176	4	"NU"	"PIGL"	6.00
177	4	"NU"	"POTR"	1.00
178	4	"NU"	"POTR"	2.00
179	4	"NU"	"POTR"	3.00
180	6	"C"	"PIGL"	1.00
181	6	"C"	"PIGL"	2.00
182	6	"C"	"PIGL"	3.00
183	6	"C"	"PIGL"	4.00
184	6	"C"	"PIGL"	5.00
185	6	"C"	"PIGL"	6.00
186	6	"SE"	"PIGL"	1.00
187	6	"SE"	"PIGL"	2.00
188	6	"SE"	"PIGL"	3.00
189	6	"SE"	"PIGL"	4.00
190	6	"SE"	"PIGL"	5.00
191	6	"SE"	"PIGL"	6.00
192	6	"SU"	"PIGL"	1.00
193	6	"SU"	"PIGL"	2.00
194	6	"SU"	"PIGL"	3.00
195	6	"SU"	"PIGL"	4.00
196	6	"SU"	"PIGL"	5.00
197	6	"SU"	"PIGL"	6.00
198	2	"SE"	"PIGL"	1.00
199	2	"SE"	"PIGL"	2.00
200	2	"SE"	"PIGL"	3.00
201	2	"SE"	"PIGL"	4.00
202	2	"SE"	"PIGL"	5.00
203	2	"SE"	"PIGL"	6.00
204	6	"NE"	"PIGL"	1.00
205	6	"NE"	"PIGL"	2.00
206	6	"NE"	"PIGL"	3.00
207	6	"NE"	"PIGL"	4.00
208	6	"NE"	"PIGL"	5.00
209	6	"NE"	"PIGL"	6.00
210	6	"NU"	"PIGL"	1.00
211	6	"NU"	"PIGL"	2.00
212	6	"NU"	"PIGL"	3.00
213	6	"NU"	"PIGL"	4.00
214	6	"NU"	"PIGL"	5.00
215	6	"NU"	"PIGL"	6.00
216	2	"C"	"PIGL"	1.00
217	2	"C"	"PIGL"	2.00
218	2	"C"	"PIGL"	3.00
219	2	"C"	"PIGL"	4.00
220	2	"C"	"PIGL"	5.00
221	2	"C"	"PIGL"	6.00
222	2	"SU"	"PIGL"	1.00
223	2	"SU"	"PIGL"	2.00
224	2	"SU"	"PIGL"	3.00
225	2	"SU"	"PIGL"	4.00
226	2	"SU"	"PIGL"	5.00
227	2	"SU"	"PIGL"	6.00
228	2	"NE"	"PIGL"	1.00
229	2	"NE"	"PIGL"	2.00
230	2	"NE"	"PIGL"	3.00
231	2	"NE"	"PIGL"	4.00
232	2	"NE"	"PIGL"	5.00
233	2	"NE"	"PIGL"	6.00
234	2	"NU"	"PIGL"	1.00
235	2	"NU"	"PIGL"	2.00
236	2	"NU"	"PIGL"	3.00
237	2	"NU"	"PIGL"	4.00
238	2	"NU"	"PIGL"	5.00
239	2	"NU"	"PIGL"	6.00
